시간,거제시,거창군,고성군,김해시,남해군,밀양시,사천시,산청군,양산시,의령군,진주시,창녕군,창원시,통영시,하동군,함안군,함양군,합천군
01시,8.33,25,17,15.8,29,11,14.5,19,11.33,17,17.5,24,14.85,16,27.5,11,31,25
02시,11.67,25.5,19,16.8,19,14,21,20,12.33,23,17,22,17.15,23,22.5,20,24,27
03시,17,18,21,17.6,28,13,20,14,12,19,19.75,19,20.31,29,15,20,24,23
04시,23.67,16,21,18,27,15,12,16,18.33,18,16.25,19,22.23,21,12.5,21,21,18
05시,22.33,16,15,18.8,20,20,11.5,17,18.33,12,14.5,16,21.62,16,13.5,13,17,15
06시,18,16,13,19,25,18,14,17,18,12,12.75,19,20.15,13,13,14,21,13
07시,17,16.5,15,18.6,26,18,11,19,17.33,14,13,12,18.92,14,13.5,11,36,11
08시,19.67,20.5,18,18,48,15,10,21,15,10,14,11,18.46,17,12.5,17,47,11
09시,20,32.5,22,15.4,54,18,16,26,16.33,14,17.25,8,17.77,16,23,17,49,13
10시,18.67,39,26,16.4,41,19,23,23,15.33,21,20.25,11,22.15,30,23.5,15,41,16
11시,29,37,28,17.4,37,19,26,24,15,20,19.75,14,22.15,39,26,17,46,20
12시,32.33,43,31,18.4,49,22,25.5,24,17,20,21,15,24.69,39,33,30,61,23
13시,35,44,42,22.6,48,32,28.5,28,22.67,30,22.75,16,30.15,36,34,73,65,31
14시,35.67,48,43,26.6,52,36,32,32,25,28,29.25,24,39.54,36,38,45,99,39
15시,37.33,41.5,59,31.6,62,49,59.5,32,29.33,27,33.5,28,40.38,48,44,43,115,36
16시,37,35.5,48,36.4,90,60,80,28,33.33,29,38.5,27,40.92,53,37.5,33,44,45
17시,36,35,45,37.2,44,47,33,27,35,28,34.25,26,36.62,42,32.5,36,44,36
18시,35.67,30,34,36.6,44,45,25.5,23,34,26,29.75,26,36.54,37,25,33,31,29
19시,34,28,27,35.2,36,43,24,24,30.33,26,30,27,33,34,23,31,32,24
20시,34.33,31.5,29,34.6,40,40,24,25,31.67,25,28.5,26,29.92,25,20.5,23,32,25
21시,30,39.5,27,33,31,39,23,22,31,22,26,24,28.08,25,21,23,27,24
22시,24,36,27,32,31,29,20.5,19,29.33,23,30,21,28.08,17,19,20,17,25
23시,27.33,40,19,29,24,27,19,18,27.67,18,28.5,20,26.54,21,19,20,24,20
