시군,01시,02시,03시,04시,05시,06시,07시,08시,09시,10시,11시,12시,13시,14시,15시,16시,17시,18시,19시,20시,21시,22시,23시
거제시,8.33,11.67,17,23.67,22.33,18,17,19.67,20,18.67,29,32.33,35,35.67,37.33,37,36,35.67,34,34.33,30,24,27.33
거창군,25,25.5,18,16,16,16,16.5,20.5,32.5,39,37,43,44,48,41.5,35.5,35,30,28,31.5,39.5,36,40
고성군,17,19,21,21,15,13,15,18,22,26,28,31,42,43,59,48,45,34,27,29,27,27,19
김해시,15.8,16.8,17.6,18,18.8,19,18.6,18,15.4,16.4,17.4,18.4,22.6,26.6,31.6,36.4,37.2,36.6,35.2,34.6,33,32,29
남해군,29,19,28,27,20,25,26,48,54,41,37,49,48,52,62,90,44,44,36,40,31,31,24
밀양시,11,14,13,15,20,18,18,15,18,19,19,22,32,36,49,60,47,45,43,40,39,29,27
사천시,14.5,21,20,12,11.5,14,11,10,16,23,26,25.5,28.5,32,59.5,80,33,25.5,24,24,23,20.5,19
산청군,19,20,14,16,17,17,19,21,26,23,24,24,28,32,32,28,27,23,24,25,22,19,18
양산시,11.33,12.33,12,18.33,18.33,18,17.33,15,16.33,15.33,15,17,22.67,25,29.33,33.33,35,34,30.33,31.67,31,29.33,27.67
의령군,17,23,19,18,12,12,14,10,14,21,20,20,30,28,27,29,28,26,26,25,22,23,18
진주시,17.5,17,19.75,16.25,14.5,12.75,13,14,17.25,20.25,19.75,21,22.75,29.25,33.5,38.5,34.25,29.75,30,28.5,26,30,28.5
창녕군,24,22,19,19,16,19,12,11,8,11,14,15,16,24,28,27,26,26,27,26,24,21,20
창원시,14.85,17.15,20.31,22.23,21.62,20.15,18.92,18.46,17.77,22.15,22.15,24.69,30.15,39.54,40.38,40.92,36.62,36.54,33,29.92,28.08,28.08,26.54
통영시,16,23,29,21,16,13,14,17,16,30,39,39,36,36,48,53,42,37,34,25,25,17,21
하동군,27.5,22.5,15,12.5,13.5,13,13.5,12.5,23,23.5,26,33,34,38,44,37.5,32.5,25,23,20.5,21,19,19
함안군,11,20,20,21,13,14,11,17,17,15,17,30,73,45,43,33,36,33,31,23,23,20,20
함양군,31,24,24,21,17,21,36,47,49,41,46,61,65,99,115,44,44,31,32,32,27,17,24
합천군,25,27,23,18,15,13,11,11,13,16,20,23,31,39,36,45,36,29,24,25,24,25,20
