행정동코드,데이터기준일,소비자물가지수,시도명
1000000000,2024-01-01,113.15,전국
1100000000,2024-01-01,112.59,서울특별시
2600000000,2024-01-01,113.1,부산광역시
2700000000,2024-01-01,113.13,대구광역시
2800000000,2024-01-01,113.74,인천광역시
2900000000,2024-01-01,113.45,광주광역시
3000000000,2024-01-01,112.9,대전광역시
3100000000,2024-01-01,112.96,울산광역시
3600000000,2024-01-01,112.76,세종특별자치시
4100000000,2024-01-01,113.04,경기도
4200000000,2024-01-01,114.48,강원도
4300000000,2024-01-01,113.74,충청북도
4400000000,2024-01-01,113.69,충청남도
4500000000,2024-01-01,113.18,전라북도
4600000000,2024-01-01,113.96,전라남도
4700000000,2024-01-01,113.77,경상북도
4800000000,2024-01-01,113.31,경상남도
5000000000,2024-01-01,113.07,제주특별자치도
1000000000,2024-02-01,113.77,전국
1100000000,2024-02-01,113.05,서울특별시
2600000000,2024-02-01,113.82,부산광역시
2700000000,2024-02-01,113.94,대구광역시
2800000000,2024-02-01,114.42,인천광역시
2900000000,2024-02-01,114.1,광주광역시
3000000000,2024-02-01,113.39,대전광역시
3100000000,2024-02-01,113.73,울산광역시
3600000000,2024-02-01,113.49,세종특별자치시
4100000000,2024-02-01,113.62,경기도
4200000000,2024-02-01,115.15,강원도
4300000000,2024-02-01,114.47,충청북도
4400000000,2024-02-01,114.27,충청남도
4500000000,2024-02-01,113.79,전라북도
4600000000,2024-02-01,114.58,전라남도
4700000000,2024-02-01,114.47,경상북도
4800000000,2024-02-01,114.08,경상남도
5000000000,2024-02-01,113.75,제주특별자치도
1000000000,2024-03-01,113.95,전국
1100000000,2024-03-01,113.02,서울특별시
2600000000,2024-03-01,113.98,부산광역시
2700000000,2024-03-01,114.08,대구광역시
2800000000,2024-03-01,114.79,인천광역시
2900000000,2024-03-01,114.37,광주광역시
3000000000,2024-03-01,113.67,대전광역시
3100000000,2024-03-01,113.87,울산광역시
3600000000,2024-03-01,113.63,세종특별자치시
4100000000,2024-03-01,113.9,경기도
4200000000,2024-03-01,115.53,강원도
4300000000,2024-03-01,114.67,충청북도
4400000000,2024-03-01,114.39,충청남도
4500000000,2024-03-01,114.06,전라북도
4600000000,2024-03-01,114.92,전라남도
4700000000,2024-03-01,114.83,경상북도
4800000000,2024-03-01,114.19,경상남도
5000000000,2024-03-01,113.84,제주특별자치도
1000000000,2024-04-01,114.01,전국
1100000000,2024-04-01,113.37,서울특별시
2600000000,2024-04-01,113.92,부산광역시
2700000000,2024-04-01,113.87,대구광역시
2800000000,2024-04-01,114.56,인천광역시
2900000000,2024-04-01,114.62,광주광역시
3000000000,2024-04-01,113.84,대전광역시
3100000000,2024-04-01,113.95,울산광역시
3600000000,2024-04-01,114.02,세종특별자치시
4100000000,2024-04-01,113.89,경기도
4200000000,2024-04-01,115.63,강원도
4300000000,2024-04-01,114.71,충청북도
4400000000,2024-04-01,114.36,충청남도
4500000000,2024-04-01,114.1,전라북도
4600000000,2024-04-01,115.01,전라남도
4700000000,2024-04-01,114.83,경상북도
4800000000,2024-04-01,113.94,경상남도
5000000000,2024-04-01,114.08,제주특별자치도
1000000000,2024-05-01,114.1,전국
1100000000,2024-05-01,113.42,서울특별시
2600000000,2024-05-01,113.87,부산광역시
2700000000,2024-05-01,114.0,대구광역시
2800000000,2024-05-01,114.78,인천광역시
2900000000,2024-05-01,114.79,광주광역시
3000000000,2024-05-01,113.7,대전광역시
3100000000,2024-05-01,113.81,울산광역시
3600000000,2024-05-01,114.15,세종특별자치시
4100000000,2024-05-01,114.01,경기도
4200000000,2024-05-01,115.67,강원도
4300000000,2024-05-01,114.86,충청북도
4400000000,2024-05-01,114.52,충청남도
4500000000,2024-05-01,114.16,전라북도
4600000000,2024-05-01,115.08,전라남도
4700000000,2024-05-01,114.99,경상북도
4800000000,2024-05-01,114.07,경상남도
5000000000,2024-05-01,114.03,제주특별자치도
1000000000,2024-06-01,113.84,전국
1100000000,2024-06-01,113.17,서울특별시
2600000000,2024-06-01,113.71,부산광역시
2700000000,2024-06-01,113.86,대구광역시
2800000000,2024-06-01,114.48,인천광역시
2900000000,2024-06-01,114.38,광주광역시
3000000000,2024-06-01,113.54,대전광역시
3100000000,2024-06-01,113.51,울산광역시
3600000000,2024-06-01,113.94,세종특별자치시
4100000000,2024-06-01,113.76,경기도
4200000000,2024-06-01,115.19,강원도
4300000000,2024-06-01,114.62,충청북도
4400000000,2024-06-01,114.12,충청남도
4500000000,2024-06-01,113.87,전라북도
4600000000,2024-06-01,114.68,전라남도
4700000000,2024-06-01,114.56,경상북도
4800000000,2024-06-01,113.86,경상남도
5000000000,2024-06-01,113.73,제주특별자치도
1000000000,2024-07-01,114.13,전국
1100000000,2024-07-01,113.46,서울특별시
2600000000,2024-07-01,113.97,부산광역시
2700000000,2024-07-01,114.12,대구광역시
2800000000,2024-07-01,114.71,인천광역시
2900000000,2024-07-01,114.61,광주광역시
3000000000,2024-07-01,113.82,대전광역시
3100000000,2024-07-01,113.91,울산광역시
3600000000,2024-07-01,114.15,세종특별자치시
4100000000,2024-07-01,114.16,경기도
4200000000,2024-07-01,115.48,강원도
4300000000,2024-07-01,114.64,충청북도
4400000000,2024-07-01,114.41,충청남도
4500000000,2024-07-01,114.11,전라북도
4600000000,2024-07-01,114.92,전라남도
4700000000,2024-07-01,114.76,경상북도
4800000000,2024-07-01,114.04,경상남도
5000000000,2024-07-01,113.99,제주특별자치도
